,Exp Quality,Mean Average Reward,Timesteps
0,0.6302470421609995,0.11220950868128286,0
1,14.548928644056932,0.08545034411384946,200
2,18.193232222222665,0.09040215130580229,400
3,19.54920580964543,0.09689910965560761,600
4,20.495350612458875,0.09113735180808352,800
5,24.541863244702114,0.09051845327495123,1000
6,24.541863244702114,0.10073953823953823,1200
7,24.541863244702114,0.07233273236491918,1400
8,24.541863244702114,0.08851789408757112,1600
9,24.541863244702114,0.08577764827764828,1800
10,24.541863244702114,0.0820024239045978,2000
11,24.541863244702114,0.07607905982905983,2200
12,24.541863244702114,0.0816804524840239,2400
13,24.541863244702114,0.09956709956709955,2600
14,24.541863244702114,0.09063630962026682,2800
15,24.541863244702114,0.09938664882108533,3000
16,24.541863244702114,0.08946697969653493,3200
17,24.541863244702114,0.09426003497660851,3400
18,24.541863244702114,0.08781230974889769,3600
19,24.541863244702114,0.08973136893617444,3800
20,24.541863244702114,0.07445477502295685,4000
21,24.541863244702114,0.07671582305254555,4200
22,24.541863244702114,0.0757090132090132,4400
23,24.541863244702114,0.09536634348992133,4600
24,24.541863244702114,0.08862838915470495,4800
25,24.541863244702114,0.10208374452295424,5000
26,24.541863244702114,0.0935204315886134,5200
27,24.541863244702114,0.08573140828575611,5400
28,24.541863244702114,0.08756313131313131,5600
29,24.541863244702114,0.0939516591482529,5800
30,24.541863244702114,0.08306711114197746,6000
31,24.541863244702114,0.07943067033976124,6200
32,24.541863244702114,0.07357961857961857,6400
33,24.541863244702114,0.08723776223776224,6600
34,24.541863244702114,0.06445236050499209,6800
35,24.541863244702114,0.07297205045490371,7000
36,24.541863244702114,0.08655297428589355,7200
37,24.541863244702114,0.08992484553630063,7400
38,24.541863244702114,0.07752343298219257,7600
39,24.541863244702114,0.0921131237493754,7800
40,24.541863244702114,0.09417712613201333,8000
41,24.541863244702114,0.0974319314944315,8200
42,24.541863244702114,0.10055227480258079,8400
43,24.541863244702114,0.09469159958569456,8600
44,24.541863244702114,0.10812594382361823,8800
45,24.541863244702114,0.09575882816014394,9000
46,24.541863244702114,0.08193664593282589,9200
47,24.541863244702114,0.09080473098330241,9400
48,24.541863244702114,0.09284752602393972,9600
49,24.541863244702114,0.08939367753185867,9800
50,0.6302443776458303,0.025535402097902102,0
51,7.817150569799206,0.022727272727272728,200
52,8.708758502801874,0.022727272727272728,400
53,9.20909965487969,0.02323232323232323,600
54,9.606311064250768,0.0,800
55,14.370316754237638,0.022727272727272728,1000
56,14.370316754237638,0.024475524475524476,1200
57,14.370316754237638,0.028409090909090908,1400
58,14.370316754237638,0.047134882661198446,1600
59,14.370316754237638,0.024242424242424242,1800
60,14.370316754237638,0.023674242424242428,2000
61,14.370316754237638,0.022727272727272728,2200
62,14.370316754237638,0.022727272727272728,2400
63,14.370316754237638,0.022727272727272728,2600
64,14.370316754237638,0.022727272727272728,2800
65,14.370316754237638,0.022727272727272728,3000
66,14.370316754237638,0.04491341991341991,3200
67,14.370316754237638,0.0256984256984257,3400
68,14.370316754237638,0.07181412337662338,3600
69,14.370316754237638,0.08987585557099305,3800
70,14.370316754237638,0.031471604642336344,4000
71,14.370316754237638,0.04458841811782988,4200
72,14.370316754237638,0.04853195415695415,4400
73,14.370316754237638,0.05069884825319608,4600
74,14.370316754237638,0.045579146730462525,4800
75,14.370316754237638,0.07014229426972934,5000
76,14.370316754237638,0.04420626721763085,5200
77,14.370316754237638,0.042552566481137914,5400
78,14.370316754237638,0.058696899570808946,5600
79,14.370316754237638,0.02092352092352092,5800
80,14.370316754237638,0.05112614423759934,6000
81,14.370316754237638,0.06279469597157344,6200
82,14.370316754237638,0.02784375712007291,6400
83,14.370316754237638,0.048448773448773436,6600
84,14.370316754237638,0.041578039168715754,6800
85,14.370316754237638,0.05877192982456139,7000
86,14.370316754237638,0.06085841141450426,7200
87,14.370316754237638,0.047645188949536774,7400
88,14.370316754237638,0.04623404670196114,7600
89,14.370316754237638,0.05597054460690824,7800
90,14.370316754237638,0.06958149188786189,8000
91,14.370316754237638,0.06046037296037296,8200
92,14.370316754237638,0.030075973102288888,8400
93,14.370316754237638,0.02227032227032227,8600
94,14.370316754237638,0.056212852100378546,8800
95,14.370316754237638,0.05110665849302212,9000
