,Exp Quality,Mean Average Reward,Timesteps
0,0.39721133415268894,0.03210382513661202,0
1,33.94844397005035,0.031208257437765632,200
2,44.75128598919775,0.00819672131147541,400
3,57.02487764091074,0.027595628415300544,600
4,78.64638385745582,0.0273224043715847,800
5,78.64638385745582,0.035909445745511324,1000
6,78.64638385745582,0.04371584699453552,1200
7,78.64638385745582,0.05796252927400468,1400
8,78.64638385745582,0.044147253379350014,1600
9,78.64638385745582,0.03825136612021857,1800
10,78.64638385745582,0.0273224043715847,2000
11,78.64638385745582,0.02390710382513661,2200
12,78.64638385745582,0.01092896174863388,2400
13,78.64638385745582,0.02459016393442623,2600
14,78.64638385745582,0.02185792349726776,2800
15,78.64638385745582,0.023012916045702932,3000
16,78.64638385745582,0.010178993704662383,3200
17,78.64638385745582,0.01233564464036981,3400
18,78.64638385745582,0.028430913348946135,3600
19,78.64638385745582,0.012507266596907336,3800
20,78.64638385745582,0.01328399702316061,4000
21,78.64638385745582,0.00885255801061218,4200
22,78.64638385745582,0.006841885690446391,4400
23,78.64638385745582,0.006810162035571871,4600
24,78.64638385745582,0.006351571925342418,4800
25,78.64638385745582,0.00844803438616826,5000
26,78.64638385745582,0.018485076833993024,5200
27,78.64638385745582,0.007103825136612021,5400
28,78.64638385745582,0.007974830269912237,5600
29,78.64638385745582,0.017299989095270984,5800
30,78.64638385745582,0.012154761195442327,6000
31,78.64638385745582,0.015027322404371582,6200
32,78.64638385745582,0.004704542276007677,6400
33,78.64638385745582,0.012505449273599157,6600
34,78.64638385745582,0.016826903323883476,6800
35,78.64638385745582,0.008050742586364429,7000
36,78.64638385745582,0.0036274851761423092,7200
37,78.64638385745582,0.01621996703963917,7400
38,78.64638385745582,0.04462221367562457,7600
39,78.64638385745582,0.03688923201785988,7800
40,78.64638385745582,0.030706480976805072,8000
41,78.64638385745582,0.034162514761354686,8200
42,78.64638385745582,0.035028676217200815,8400
43,78.64638385745582,0.032475879571898306,8600
44,78.64638385745582,0.03178381486722856,8800
45,78.64638385745582,0.03848967820279296,9000
46,78.64638385745582,0.0412498605999777,9200
47,78.64638385745582,0.03732534326880591,9400
48,78.64638385745582,0.03525661374808162,9600
49,78.64638385745582,0.0348014758291057,9800
50,78.64638385745582,0.05009911068252437,10000
51,78.64638385745582,0.07567576624953674,10200
52,78.64638385745582,0.06743093307100058,10400
53,78.64638385745582,0.0603635152716026,10600
54,78.64638385745582,0.07469424928441323,10800
55,78.64638385745582,0.092602971986436,11000
56,78.64638385745582,0.0879142516428689,11200
57,78.64638385745582,0.07732277466670154,11400
58,78.64638385745582,0.09861286254728878,11600
59,78.64638385745582,0.091550850873918,11800
60,78.64638385745582,0.11376523401595726,12000
61,78.64638385745582,0.11274513282710005,12200
62,78.64638385745582,0.09915507186481151,12400
63,78.64638385745582,0.08206966709605902,12600
64,78.64638385745582,0.09539077926252469,12800
65,78.64638385745582,0.10286016045762567,13000
66,78.64638385745582,0.15411859120665874,13200
67,78.64638385745582,0.15505556584262867,13400
68,78.64638385745582,0.1532093416939633,13600
69,78.64638385745582,0.15354218404878459,13800
70,78.64638385745582,0.15119761030948833,14000
71,78.64638385745582,0.17082384284791532,14200
72,78.64638385745582,0.15148664290209715,14400
73,78.64638385745582,0.1547344866031894,14600
74,78.64638385745582,0.15173276925687407,14800
75,78.64638385745582,0.1515869199064651,15000
76,78.64638385745582,0.16045661686914453,15200
77,78.64638385745582,0.1571976635288004,15400
78,78.64638385745582,0.16238153035277839,15600
79,78.64638385745582,0.16083145699846332,15800
80,78.64638385745582,0.15545894196648857,16000
81,78.64638385745582,0.15854832911340797,16200
82,78.64638385745582,0.15716088628081726,16400
83,78.64638385745582,0.15859127089421415,16600
84,78.64638385745582,0.1610350527539534,16800
85,78.64638385745582,0.1612719277893997,17000
86,78.64638385745582,0.1611569508387252,17200
87,78.64638385745582,0.1719154239724656,17400
88,78.64638385745582,0.1793576009558346,17600
89,78.64638385745582,0.18452019961181,17800
90,78.64638385745582,0.1752771885245366,18000
91,78.64638385745582,0.16743192118071573,18200
92,78.64638385745582,0.16168344237039356,18400
93,78.64638385745582,0.1827824186646446,18600
94,78.64638385745582,0.17730716460224655,18800
95,78.64638385745582,0.16965231944740136,19000
96,78.64638385745582,0.1699783662175176,19200
97,78.64638385745582,0.1736375696210493,19400
98,78.64638385745582,0.16267197256830804,19600
99,78.64638385745582,0.16537785047910405,19800
100,78.64638385745582,0.15913642868548206,20000
101,78.64638385745582,0.16598851031107542,20200
102,78.64638385745582,0.1716929844194727,20400
103,78.64638385745582,0.17189325291771618,20600
104,78.64638385745582,0.16924123235598645,20800
105,78.64638385745582,0.15976114718882312,21000
106,78.64638385745582,0.16302676349686945,21200
107,78.64638385745582,0.17280416064167264,21400
108,78.64638385745582,0.16804077669047462,21600
109,78.64638385745582,0.16718667462399375,21800
110,78.64638385745582,0.16745925509184914,22000
111,78.64638385745582,0.1686053606738274,22200
112,78.64638385745582,0.16679575380153966,22400
113,78.64638385745582,0.17265938283296037,22600
114,78.64638385745582,0.17907714539826397,22800
115,78.64638385745582,0.17192610641260592,23000
116,78.64638385745582,0.17178407417076658,23200
117,78.64638385745582,0.17340343145550466,23400
118,78.64638385745582,0.1615883483505165,23600
119,78.64638385745582,0.159006658186986,23800
120,78.64638385745582,0.16429039727014647,24000
121,78.64638385745582,0.1779906391380532,24200
122,78.64638385745582,0.17132023928070214,24400
123,78.64638385745582,0.15163358785332598,24600
124,78.64638385745582,0.16974828281228319,24800
125,78.64638385745582,0.16540536466753278,25000
